source,resource,notes,is_answer,p1,p2,p3,p4,p5,q
fracas,,Annotator created the questions,yes,An Italian became the world's greatest tenor.,,,,,What did an Italian become?
fracas,,wh>∀,unknown,An Italian became the world's greatest tenor.,,,,,What did every Italian become?
fracas,,,yes,An Italian became the world's greatest tenor.,,,,,Was there an Italian who became the world's greatest tenor?
fracas,,Annotator created the answers,yes,No Italian became the world's greatest tenor.,,,,,Was there an Italian who became the world's greatest tenor?
fracas,,Annotator created the questions,yes,Every Italian man wants to be a great tenor.,,,,,Who wants to be a great tenor?
fracas,,wh>∀,yes,Every Italian man wants to be a great tenor.,,,,,What does every Italian man want to be?
fracas,,Annotator created the questions,yes,Some Italian men are great tenors.,,,,,What are some Italian men great at?
fracas,,,yes,Every Italian man wants to be a great tenor.,Some Italian men are great tenors.,,,,Are there Italian men who want to be a great tenor?
fracas,,Annotator created the questions,yes,All Italian men want to be a great tenor.,,,,,Who wants to be a great tenor?
fracas,,Annotator created the questions,yes,All Italian men want to be a great tenor.,,,,,What do all Italian men want to be?
fracas,,,yes,All Italian men want to be a great tenor.,Some Italian men are great tenors.,,,,Are there Italian men who want to be a great tenor?
fracas,,,yes,Each Italian tenor wants to be great.,Some Italian tenors are great.,,,,Are there Italian tenors who want to be great?
fracas,,Annotator created the answers,yes,No Italian tenor wants to not be great.,,,,,Are there Italian tenors who want to be great?
fracas,,Annotator created the questions,yes,Each Italian tenor wants to be great.,,,,,What does each Italian want to be?
fracas,,Annotator created the questions,yes,Each Italian tenor wants to be great.,,,,,Which italian tenors want to be great?
fracas,,,yes,The really ambitious tenors are Italian.,,,,,Are there really ambitious tenors who are Italian?
fracas,,,yes,No really great tenors are modest.,,,,,Are there really great tenors who are modest?
fracas,,,yes,Some great tenors are Swedish.,,,,,Are there great tenors who are Swedish?
fracas,,Annotator created the questions,yes,An Irishman won the Nobel prize for literature.,,,,,What did an Irishman win?
fracas,,Annotator created the questions,yes,An Irishman won the Nobel prize.,,,,,What did an Irishman win?
fracas,,,yes,An Irishman won the Nobel prize for literature.,,,,,Did an Irishman win a Nobel prize?
fracas,,,yes,Every European has the right to live in Europe.,Every European is a person.,Every person who has the right to live in Europe can travel freely within Europe.,,,Can every European travel freely within Europe?
